"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per year/Trips (number)";"Average per person per year/Distance travelled    (passenger kilometres )";"Average per person per year/Time travelled     (hours)"
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Noord-Brabant (PV)";"2019";11;229;25,9
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Noord-Brabant (PV)";"2020";15;255;27,7
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Noord-Brabant (PV)";"2021";14;243;24,3
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Noord-Brabant (PV)";"2022";13;263;28,8
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Noord-Brabant (PV)";"2023";11;204;20,8
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Limburg (PV)";"2018";13;258;28,6
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Limburg (PV)";"2019";12;212;26,3
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Limburg (PV)";"2020";11;222;23,5
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Limburg (PV)";"2021";12;246;25,3
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Limburg (PV)";"2022";11;211;22
"Touring/walking";"Population 6 years or older";"Bike";"Value";"Limburg (PV)";"2023";11;232;24,3
"Touring/walking";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2018";43;141;34,6
"Touring/walking";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2019";42;143;34,6
"Touring/walking";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2020";73;236;56,7
"Touring/walking";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2021";88;304;72,6
"Touring/walking";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2022";79;246;60,3
"Touring/walking";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2023";73;228;56,1
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Groningen (PV)";"2018";39;107;25,4
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Groningen (PV)";"2019";50;168;37,4
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Groningen (PV)";"2020";63;221;50,5
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Groningen (PV)";"2021";86;298;69,8
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Groningen (PV)";"2022";76;219;52,4
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Groningen (PV)";"2023";73;236;57,6
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Fryslân (PV)";"2018";48;157;39,8
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Fryslân (PV)";"2019";43;158;36,5
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Fryslân (PV)";"2020";77;267;58,2
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Fryslân (PV)";"2021";82;276;60,6
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Fryslân (PV)";"2022";80;269;61,1
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Fryslân (PV)";"2023";80;250;58
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Drenthe (PV)";"2018";44;131;30,1
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Drenthe (PV)";"2019";55;194;39,5
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Drenthe (PV)";"2020";72;237;52,5
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Drenthe (PV)";"2021";94;319;73,1
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Drenthe (PV)";"2022";95;288;66,5
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Drenthe (PV)";"2023";84;266;60
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Overijssel (PV)";"2018";49;158;36,3
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Overijssel (PV)";"2019";43;140;29,1
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Overijssel (PV)";"2020";74;242;53,4
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Overijssel (PV)";"2021";84;301;65,3
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Overijssel (PV)";"2022";89;275;63,9
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Overijssel (PV)";"2023";79;231;54,8
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Flevoland (PV)";"2018";33;108;25,1
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Flevoland (PV)";"2019";40;125;27,8
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Flevoland (PV)";"2020";62;201;46,8
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Flevoland (PV)";"2021";79;238;55
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Flevoland (PV)";"2022";80;228;57,9
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Flevoland (PV)";"2023";73;219;51,2
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Gelderland (PV)";"2018";46;152;35,9
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Gelderland (PV)";"2019";42;140;32,9
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Gelderland (PV)";"2020";81;247;58,2
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Gelderland (PV)";"2021";94;311;71,5
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Gelderland (PV)";"2022";86;253;59,5
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Gelderland (PV)";"2023";81;242;56,4
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Utrecht (PV)";"2018";37;122;29,4
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Utrecht (PV)";"2019";37;127;29,7
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Utrecht (PV)";"2020";71;220;54,2
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Utrecht (PV)";"2021";88;297;72,6
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Utrecht (PV)";"2022";76;236;58,7
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Utrecht (PV)";"2023";67;205;49,3
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Noord-Holland (PV)";"2018";36;125;32
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Noord-Holland (PV)";"2019";37;126;35
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Noord-Holland (PV)";"2020";65;221;55,2
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Noord-Holland (PV)";"2021";82;292;73,8
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Noord-Holland (PV)";"2022";70;233;60,5
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Noord-Holland (PV)";"2023";64;205;53,8
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Zuid-Holland (PV)";"2018";39;131;32,6
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Zuid-Holland (PV)";"2019";39;131;32,3
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Zuid-Holland (PV)";"2020";63;205;52,4
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Zuid-Holland (PV)";"2021";82;281;69,7
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Zuid-Holland (PV)";"2022";67;215;54,3
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Zuid-Holland (PV)";"2023";62;208;52,3
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Zeeland (PV)";"2018";42;139;35,6
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Zeeland (PV)";"2019";45;140;33,4
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Zeeland (PV)";"2020";86;276;62,4
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Zeeland (PV)";"2021";85;291;67,8
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Zeeland (PV)";"2022";88;309;68,1
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Zeeland (PV)";"2023";71;248;59
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Noord-Brabant (PV)";"2018";48;154;36,9
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Noord-Brabant (PV)";"2019";46;151;36,8
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Noord-Brabant (PV)";"2020";81;258;60
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Noord-Brabant (PV)";"2021";94;330;78,1
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Noord-Brabant (PV)";"2022";86;258;61,8
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Noord-Brabant (PV)";"2023";78;236;58
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Limburg (PV)";"2018";54;195;50,6
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Limburg (PV)";"2019";53;200;48,6
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Limburg (PV)";"2020";92;311;76,1
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Limburg (PV)";"2021";110;385;93,2
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Limburg (PV)";"2022";89;298;75,1
"Touring/walking";"Population 6 years or older";"Walking";"Value";"Limburg (PV)";"2023";93;302;76,8
"Touring/walking";"Population 6 years or older";"Other";"Value";"The Netherlands";"2018";1;37;2,5
"Touring/walking";"Population 6 years or older";"Other";"Value";"The Netherlands";"2019";1;35;2,1
"Touring/walking";"Population 6 years or older";"Other";"Value";"The Netherlands";"2020";1;34;2,4
"Touring/walking";"Population 6 years or older";"Other";"Value";"The Netherlands";"2021";2;49;3,2
"Touring/walking";"Population 6 years or older";"Other";"Value";"The Netherlands";"2022";1;38;2,4
"Touring/walking";"Population 6 years or older";"Other";"Value";"The Netherlands";"2023";1;32;2,1
"Touring/walking";"Population 6 years or older";"Other";"Value";"Groningen (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Groningen (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Groningen (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Groningen (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Groningen (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Groningen (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Fryslân (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Fryslân (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Fryslân (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Fryslân (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Fryslân (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Fryslân (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Drenthe (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Drenthe (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Drenthe (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Drenthe (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Drenthe (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Drenthe (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Overijssel (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Overijssel (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Overijssel (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Overijssel (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Overijssel (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Overijssel (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Flevoland (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Flevoland (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Flevoland (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Flevoland (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Flevoland (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Flevoland (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Gelderland (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Gelderland (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Gelderland (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Gelderland (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Gelderland (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Gelderland (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Utrecht (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Utrecht (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Utrecht (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Utrecht (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Utrecht (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Utrecht (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Noord-Holland (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Noord-Holland (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Noord-Holland (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Noord-Holland (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Noord-Holland (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Noord-Holland (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Zuid-Holland (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Zuid-Holland (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Zuid-Holland (PV)";"2020";2;;3,1
"Touring/walking";"Population 6 years or older";"Other";"Value";"Zuid-Holland (PV)";"2021";2;;3,5
"Touring/walking";"Population 6 years or older";"Other";"Value";"Zuid-Holland (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Zuid-Holland (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Zeeland (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Zeeland (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Zeeland (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Zeeland (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Zeeland (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Zeeland (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Noord-Brabant (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Noord-Brabant (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Noord-Brabant (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Noord-Brabant (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Noord-Brabant (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Noord-Brabant (PV)";"2023";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Limburg (PV)";"2018";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Limburg (PV)";"2019";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Limburg (PV)";"2020";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Limburg (PV)";"2021";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Limburg (PV)";"2022";;;
"Touring/walking";"Population 6 years or older";"Other";"Value";"Limburg (PV)";"2023";;;
"Other";"Population 6 years or older";"Total";"Value";"The Netherlands";"2018";112;1079;32,3
"Other";"Population 6 years or older";"Total";"Value";"The Netherlands";"2019";106;1070;33,3
"Other";"Population 6 years or older";"Total";"Value";"The Netherlands";"2020";104;953;29,8
"Other";"Population 6 years or older";"Total";"Value";"The Netherlands";"2021";114;1024;33,1
"Other";"Population 6 years or older";"Total";"Value";"The Netherlands";"2022";116;1015;33,8
"Other";"Population 6 years or older";"Total";"Value";"The Netherlands";"2023";116;1075;34
"Other";"Population 6 years or older";"Total";"Value";"Groningen (PV)";"2018";100;951;28,2
"Other";"Population 6 years or older";"Total";"Value";"Groningen (PV)";"2019";94;1623;46,6
"Other";"Population 6 years or older";"Total";"Value";"Groningen (PV)";"2020";96;1002;26
