"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per year/Trips (number)";"Average per person per year/Distance travelled    (passenger kilometres )";"Average per person per year/Time travelled     (hours)"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Limburg (PV)";"2020";96;1509;40
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Limburg (PV)";"2021";107;1557;41,7
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Limburg (PV)";"2022";122;1887;47,8
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Limburg (PV)";"2023";133;1863;49,6
"Total";"Population 6 years or older";"Train";"Value";"The Netherlands";"2018";29;1417;37,1
"Total";"Population 6 years or older";"Train";"Value";"The Netherlands";"2019";30;1488;38,9
"Total";"Population 6 years or older";"Train";"Value";"The Netherlands";"2020";12;586;15,4
"Total";"Population 6 years or older";"Train";"Value";"The Netherlands";"2021";13;610;16,9
"Total";"Population 6 years or older";"Train";"Value";"The Netherlands";"2022";19;955;25,8
"Total";"Population 6 years or older";"Train";"Value";"The Netherlands";"2023";24;1190;32,2
"Total";"Population 6 years or older";"Train";"Value";"Groningen (PV)";"2018";25;1702;40,9
"Total";"Population 6 years or older";"Train";"Value";"Groningen (PV)";"2019";25;2038;41,1
"Total";"Population 6 years or older";"Train";"Value";"Groningen (PV)";"2020";;;
"Total";"Population 6 years or older";"Train";"Value";"Groningen (PV)";"2021";14;1145;24
"Total";"Population 6 years or older";"Train";"Value";"Groningen (PV)";"2022";;;
"Total";"Population 6 years or older";"Train";"Value";"Groningen (PV)";"2023";20;1636;30
"Total";"Population 6 years or older";"Train";"Value";"Fryslân (PV)";"2018";17;1037;23,8
"Total";"Population 6 years or older";"Train";"Value";"Fryslân (PV)";"2019";;;
"Total";"Population 6 years or older";"Train";"Value";"Fryslân (PV)";"2020";;;
"Total";"Population 6 years or older";"Train";"Value";"Fryslân (PV)";"2021";;;
"Total";"Population 6 years or older";"Train";"Value";"Fryslân (PV)";"2022";;;
"Total";"Population 6 years or older";"Train";"Value";"Fryslân (PV)";"2023";;;
"Total";"Population 6 years or older";"Train";"Value";"Drenthe (PV)";"2018";;;
"Total";"Population 6 years or older";"Train";"Value";"Drenthe (PV)";"2019";;;
"Total";"Population 6 years or older";"Train";"Value";"Drenthe (PV)";"2020";;;
"Total";"Population 6 years or older";"Train";"Value";"Drenthe (PV)";"2021";;;
"Total";"Population 6 years or older";"Train";"Value";"Drenthe (PV)";"2022";;;
"Total";"Population 6 years or older";"Train";"Value";"Drenthe (PV)";"2023";;;
"Total";"Population 6 years or older";"Train";"Value";"Overijssel (PV)";"2018";21;1215;28,7
"Total";"Population 6 years or older";"Train";"Value";"Overijssel (PV)";"2019";25;1843;38,7
"Total";"Population 6 years or older";"Train";"Value";"Overijssel (PV)";"2020";9;644;14,5
"Total";"Population 6 years or older";"Train";"Value";"Overijssel (PV)";"2021";8;352;9,1
"Total";"Population 6 years or older";"Train";"Value";"Overijssel (PV)";"2022";17;1114;24,1
"Total";"Population 6 years or older";"Train";"Value";"Overijssel (PV)";"2023";17;1155;25,5
"Total";"Population 6 years or older";"Train";"Value";"Flevoland (PV)";"2018";44;1943;51,6
